Month,LocationName,PeakOffPeak,Book,TotalVolume,TotalTradeValue,ForecastCost
2025-01-01 00:00:00+01:00,France,OffPeak,Asset Backed,2399679.88,161681.4,81853080.7068
2025-01-01 00:00:00+01:00,France,Peak,Asset Backed,2379126.32,295444.2,148290943.5256
2025-01-01 00:00:00+01:00,Germany,OffPeak,Asset Backed,2844721.83,194017.68,97033461.6213
2025-01-01 00:00:00+01:00,Germany,Peak,Asset Backed,2860023.35,354533.04,178265255.4055
2025-01-01 00:00:00+01:00,Spain,OffPeak,Asset Backed,3343978.21,226353.96,114063096.7431
2025-01-01 00:00:00+01:00,Spain,Peak,Asset Backed,3349711.62,413621.88,208787525.2746
2025-01-01 00:00:00+01:00,Switzerland,OffPeak,Asset Backed,3218974.34,219395.52,109799214.7374
2025-01-01 00:00:00+01:00,Switzerland,Peak,Asset Backed,3226630.95,400906.56,201115907.1135
2025-01-01 00:00:00+01:00,United Kingdom,OffPeak,Asset Backed,5159807.05,350787.24,176001018.4755
2025-01-01 00:00:00+01:00,United Kingdom,Peak,Asset Backed,5170351.91,641001.72,322268034.5503
2025-02-01 00:00:00+01:00,France,OffPeak,Asset Backed,2050175.78,189912.24,94595110.4892
2025-02-01 00:00:00+01:00,France,Peak,Asset Backed,2042270.69,272026.44,134973669.9021
2025-02-01 00:00:00+01:00,Germany,OffPeak,Asset Backed,2585462.68,236975.04,119293248.0552
2025-02-01 00:00:00+01:00,Germany,Peak,Asset Backed,2511712.15,339438.24,165999055.9935
2025-02-01 00:00:00+01:00,Spain,OffPeak,Asset Backed,2823390.45,266320.08,130271235.363
2025-02-01 00:00:00+01:00,Spain,Peak,Asset Backed,2886043.59,381471.48000000004,190738620.86310002
2025-02-01 00:00:00+01:00,Switzerland,OffPeak,Asset Backed,3126695.64,287913.6,144265736.8296
2025-02-01 00:00:00+01:00,Switzerland,Peak,Asset Backed,3137070.26,412401.60000000003,207328973.48340002
2025-02-01 00:00:00+01:00,United Kingdom,OffPeak,Asset Backed,4407528.72,405293.76,203363375.1408
2025-02-01 00:00:00+01:00,United Kingdom,Peak,Asset Backed,4387919.38,580534.56,289997591.82420003
2025-03-01 00:00:00+01:00,France,OffPeak,Asset Backed,2309766.19,220961.52,109898675.3202
2025-03-01 00:00:00+01:00,France,Peak,Asset Backed,2315819.93,264228.0,131422781.0275
2025-03-01 00:00:00+01:00,Germany,OffPeak,Asset Backed,2683024.83,251698.19999999998,127658321.41139999
2025-03-01 00:00:00+01:00,Germany,Peak,Asset Backed,2658244.89,301002.0,150855397.5075
2025-03-01 00:00:00+01:00,Spain,OffPeak,Asset Backed,3407848.24,326303.64,162145419.2592
2025-03-01 00:00:00+01:00,Spain,Peak,Asset Backed,3447191.8,390213.0,195628134.65
2025-03-01 00:00:00+01:00,Switzerland,OffPeak,Asset Backed,3164806.96,300087.06,150581515.1568
2025-03-01 00:00:00+01:00,Switzerland,Peak,Asset Backed,3182250.41,358887.0,180592710.7675
2025-03-01 00:00:00+01:00,United Kingdom,OffPeak,Asset Backed,4853891.94,459527.63999999996,230948178.5052
2025-03-01 00:00:00+01:00,United Kingdom,Peak,Asset Backed,4885112.89,549567.0,277230156.5075
2025-04-01 00:00:00+02:00,France,OffPeak,Asset Backed,2209555.99,197218.56,98678770.51339999
2025-04-01 00:00:00+02:00,France,Peak,Asset Backed,2222824.6,266461.44,134125236.36400001
2025-04-01 00:00:00+02:00,Germany,OffPeak,Asset Backed,2818173.06,251346.47999999998,125859608.8596
2025-04-01 00:00:00+02:00,Germany,Peak,Asset Backed,2794354.87,339593.52,168611372.8558
2025-04-01 00:00:00+02:00,Spain,OffPeak,Asset Backed,3479119.0,310297.68,155377454.54
2025-04-01 00:00:00+02:00,Spain,Peak,Asset Backed,3515379.98,419242.32,212118027.9932
2025-04-01 00:00:00+02:00,Switzerland,OffPeak,Asset Backed,3084187.64,273319.19999999995,137739820.00239998
2025-04-01 00:00:00+02:00,Switzerland,Peak,Asset Backed,3058700.61,369280.80000000005,184561994.80740002
2025-04-01 00:00:00+02:00,United Kingdom,OffPeak,Asset Backed,4526943.99,406227.36,202173318.59339997
